id,category,feature,implemented,notes
REQ-001,auth,User login with session cookie,TRUE,
REQ-002,auth,User logout,TRUE,
REQ-003,auth,Role-based access control (clearance levels 0/10/20),TRUE,
REQ-004,auth,User registration (admin only),TRUE,
REQ-005,coa,List Chart of Accounts with pagination,TRUE,
REQ-006,coa,Create COA entries,TRUE,
REQ-007,coa,COA balance summary (total debit/credit/balance per account),TRUE,
REQ-008,customer,List customers with outstanding/invoice totals,TRUE,
REQ-009,customer,Create customer (auto-created on invoice if new),TRUE,
REQ-010,customer,Customer tax info (NPWP/NIK/TaxName/TaxAddress),TRUE,
REQ-011,invoice,Create invoice with line items (DPP/PPN/PPh23),TRUE,
REQ-012,invoice,List invoices with payment status (paid/remaining/percentage),TRUE,
REQ-013,invoice,Invoice approval workflow (DRAFT→PENDING→APPROVED),TRUE,
REQ-014,invoice,Void invoice,TRUE,
REQ-015,invoice,Invoice creates journal entry on approval,TRUE,
REQ-016,invoice,Staging sync from remote DB,TRUE,
REQ-017,payment,Record payment against invoice,TRUE,
REQ-018,payment,Payment creates journal entry,TRUE,
REQ-019,payment,Entity name tracking on payment journal entries,TRUE,
REQ-020,journal,Double-entry ledger (debit = credit enforced),TRUE,
REQ-021,journal,List journals with entries,TRUE,
REQ-022,journal,Manual journal creation (maker-checker),TRUE,
REQ-023,journal,XLSX export of journal entries,TRUE,
REQ-024,journal,NDE field on journal entries,TRUE,
REQ-025,journal,Bulan column and sequential No. in XLSX export,TRUE,
REQ-026,transaction,Bank statement (mutasi bank) auto-generated from journal entries,TRUE,
REQ-027,transaction,List transactions with search/pagination,TRUE,
REQ-028,balance,Company bank accounts (CompanyBalance),TRUE,
REQ-029,balance,Balance updated when transactions posted,TRUE,
REQ-030,voucher,Voucher list from external system,TRUE,
REQ-031,voucher,Create voucher journal entry,TRUE,
REQ-032,voucher,Close/settle voucher (OPEN→CLOSED),TRUE,
REQ-033,ticket,AdjustmentTicket maker-checker queue,TRUE,
REQ-034,ticket,Approve/reject adjustment tickets,TRUE,
REQ-035,dashboard,Dashboard summary (outstanding invoices / balances),TRUE,
REQ-036,explorer,DB explorer for dev/admin,TRUE,
REQ-037,bank-recon,Bank reconciliation (match transactions to journal entries),FALSE,Phase 2
REQ-038,bank-recon,Reconciliation report,FALSE,Phase 2
REQ-039,journal,Journal entry editor (edit posted entries via ticket),FALSE,Phase 1
REQ-040,reporting,Profit & Loss report,FALSE,
REQ-041,reporting,Balance Sheet report,FALSE,
REQ-042,reporting,Aged receivables report,FALSE,
